iter	MultiClass
0	1.706274818
1	1.535076996
2	1.414061526
3	1.315140765
4	1.231471749
5	1.132244437
6	1.066124668
7	0.9987037775
8	0.9472391417
9	0.9054993781
10	0.8572039006
11	0.8103495848
12	0.772196057
13	0.7367763299
14	0.7091598423
15	0.6808669882
16	0.6562900542
17	0.6343907925
18	0.6109365662
19	0.5861336175
20	0.5643397052
21	0.5414615323
22	0.5263136301
23	0.5058473688
24	0.4953961943
25	0.4832098582
26	0.4704562799
27	0.4611696894
28	0.4466088809
29	0.435752445
30	0.4257288036
31	0.4164944289
32	0.4077338387
33	0.3983568338
34	0.3926063237
35	0.3811312183
36	0.3732399383
37	0.3671503314
38	0.3578954316
39	0.3540583073
40	0.3470139217
41	0.3386804433
42	0.3335268235
43	0.3265753784
44	0.3209637843
45	0.3142950885
46	0.3115567856
47	0.3070213491
48	0.3002632467
49	0.2975017251
50	0.2920279736
51	0.2888154085
52	0.2863804159
53	0.2826760463
54	0.2789923668
55	0.2747513861
56	0.2712254921
57	0.2655924816
58	0.2633281778
59	0.2584005863
60	0.2556046583
61	0.2530413366
62	0.2504971364
63	0.2454395574
64	0.2400219997
65	0.2375796885
66	0.2356286721
67	0.2332661107
68	0.2294586745
69	0.2274335854
70	0.2241385888
71	0.2204902471
72	0.2175071856
73	0.2137342883
74	0.2109530205
75	0.2090893331
76	0.2062451556
77	0.2037377301
78	0.2021066025
79	0.200284652
80	0.1989270639
81	0.1963491228
82	0.1939555793
83	0.1923242344
84	0.1881155189
85	0.1859818283
86	0.1844252905
87	0.1816775672
88	0.1806914524
89	0.1797507428
90	0.1785077245
91	0.1775505448
92	0.1756078378
93	0.1735235582
94	0.1719056148
95	0.1699242742
96	0.1677780405
97	0.1667048438
98	0.1645429358
99	0.1626538441
100	0.1604722099
101	0.159678901
102	0.1572821763
103	0.1553451253
104	0.1530711823
105	0.1511135067
106	0.149815408
107	0.1480402748
108	0.1470288628
109	0.1451754265
110	0.1445142452
111	0.1438283276
112	0.1424018657
113	0.1411072748
114	0.1392156656
115	0.1383287967
116	0.1370866525
117	0.1360243124
118	0.1349378177
119	0.1342695396
120	0.1334974775
121	0.1327453862
122	0.1315139951
123	0.1309808355
124	0.13022949
125	0.1290778748
126	0.1283284827
127	0.1270564715
128	0.1257478873
129	0.1251605007
130	0.1243494306
131	0.1234018489
132	0.1225937789
133	0.1207936972
134	0.1196012971
135	0.1188043545
136	0.1180465484
137	0.1176878899
138	0.1163879067
139	0.1151582249
140	0.1144110932
141	0.1137657501
142	0.1132715564
143	0.1126645877
144	0.1121867442
145	0.1114132493
146	0.1108065
147	0.1096640049
148	0.1091721389
149	0.1087980235
150	0.1080985097
151	0.1076167036
152	0.1068852202
153	0.1060772347
154	0.1056544433
155	0.1051572011
156	0.1043589776
157	0.1038791542
158	0.1026843715
159	0.1019023618
160	0.1012885395
161	0.1004830657
162	0.09949167956
163	0.09831919945
164	0.0977399949
165	0.09739860226
166	0.0969061365
167	0.096260308
168	0.09586171049
169	0.09540016194
170	0.09473126441
171	0.09387098218
172	0.09322269295
173	0.09277632485
174	0.09213109474
175	0.09157955857
176	0.09120004303
177	0.09061930425
178	0.08995009865
179	0.08908364621
180	0.08814660907
181	0.08785946555
182	0.0870792426
183	0.08664901991
184	0.08640886546
185	0.08608285966
186	0.0856753535
187	0.0846507975
188	0.08423578916
189	0.08386623246
190	0.08342868687
191	0.08265019406
192	0.08235281981
193	0.08197429918
194	0.08174701213
195	0.08098407316
196	0.08036199915
197	0.08002650595
198	0.07948119556
199	0.07932172285
200	0.07881546348
201	0.07824235006
202	0.07776265178
203	0.0772645686
204	0.07671026891
205	0.07617443355
206	0.07579504921
207	0.07504337487
208	0.07470115056
209	0.07431233007
210	0.0741893204
211	0.07357545495
212	0.07303476816
213	0.07258187835
214	0.07232744343
215	0.07147869714
216	0.07121019383
217	0.07029223776
218	0.06986819524
219	0.06966707816
220	0.06926356801
221	0.06873450047
222	0.06807735558
223	0.06767015596
224	0.06730089495
225	0.0667543937
226	0.06622853335
227	0.06586807228
228	0.06553145102
229	0.06524610544
